"Date & Time","use [kWh]","gen [kWh]","Grid [kWh]","PV Array 1 [kWh]","PV Array 1+ [kWh]","PV  Array 2 [kWh]","PV  Array 2+ [kWh]","Fans + Halls? [kWh]","East front hall [kWh]","West front hall [kWh]","Recept East [kWh]","Recept West [kWh]","12kBtu Air Conditioning [kWh]"
2015-08-05 01:00:00,-78171537.345156384,-78172391.885537493,854.540381111,3826.614373889,3887.169417778,-78176218.499911380,10314.887694444,1615.873523611,529.535293056,177.216811389,8.714003611,66.278765000,861.619251389
2015-08-05 00:59:00,-78171537.350597763,-78172391.885379720,854.534781944,3826.614461944,3887.169417778,-78176218.499841666,10314.887694444,1615.871937500,529.535152500,177.216673611,8.714003333,66.278765000,861.619250000
2015-08-05 00:58:00,-78171537.356038046,-78172391.885222208,854.529184167,3826.614550000,3887.169417778,-78176218.499772215,10314.887694444,1615.870351111,529.535012500,177.216535833,8.714003333,66.278764722,861.619248611
2015-08-05 00:57:00,-78171537.361490273,-78172391.885064435,854.523574167,3826.614638056,3887.169417778,-78176218.499702501,10314.887694444,1615.868763889,529.534871944,177.216398056,8.714003333,66.278764722,861.619247222
2015-08-05 00:56:00,-78171537.366935837,-78172391.884906936,854.517971111,3826.614726111,3887.169417778,-78176218.499633050,10314.887694444,1615.867177222,529.534731667,177.216260556,8.714003056,66.278764722,861.619246111
2015-08-05 00:55:00,-78171537.372385275,-78172391.884749162,854.512363889,3826.614814167,3887.169417778,-78176218.499563324,10314.887694444,1615.865592222,529.534590833,177.216123056,8.714003056,66.278764722,861.619244722
2015-08-05 00:54:00,-78171537.377831388,-78172391.884591103,854.506759722,3826.614902500,3887.169417778,-78176218.499493599,10314.887694444,1615.864006389,529.534450556,177.215985278,8.714002778,66.278764444,861.619243333
2015-08-05 00:53:00,-78171537.383277488,-78172391.884433329,854.501155833,3826.614990833,3887.169417778,-78176218.499424160,10314.887694444,1615.862421667,529.534310000,177.215847778,8.714002778,66.278764444,861.619242222
2015-08-05 00:52:00,-78171537.388719153,-78172391.884275270,854.495556111,3826.615078889,3887.169417778,-78176218.499354172,10314.887694444,1615.860837778,529.534169722,177.215710278,8.714002500,66.278764444,861.619241111
2015-08-05 00:51:00,-78171537.394162488,-78172391.884117770,854.489955278,3826.615166944,3887.169417778,-78176218.499284720,10314.887694444,1615.859253333,529.534029167,177.215572778,8.714002500,66.278764444,861.619239722
2015-08-05 00:50:00,-78171537.399615824,-78172391.883960545,854.484344722,3826.615254722,3887.169417778,-78176218.499215269,10314.887694444,1615.857668611,529.533888889,177.215435556,8.714002222,66.278764167,861.619238333
2015-08-05 00:49:00,-78171537.405050540,-78172391.883803058,854.478752500,3826.615342778,3887.169417778,-78176218.499145818,10314.887694444,1615.856085278,529.533748333,177.215298056,8.714002222,66.278764167,861.619237222
2015-08-05 00:48:00,-78171537.410485554,-78172391.883646107,854.473160556,3826.615430278,3887.169417778,-78176218.499076378,10314.887694444,1615.854502500,529.533607500,177.215160833,8.714001944,66.278764167,861.619235833
2015-08-05 00:47:00,-78171537.415932775,-78172391.883488882,854.467556111,3826.615517778,3887.169417778,-78176218.499006653,10314.887694444,1615.852918056,529.533466944,177.215023611,8.714001944,66.278764167,861.619234444
2015-08-05 00:46:00,-78171537.421376944,-78172391.883331394,854.461954444,3826.615605833,3887.169417778,-78176218.498937225,10314.887694444,1615.851331944,529.533326667,177.214885833,8.714001667,66.278763889,861.619233333
2015-08-05 00:45:00,-78171537.426817226,-78172391.883174431,854.456357222,3826.615693056,3887.169417778,-78176218.498867500,10314.887694444,1615.849746111,529.533186111,177.214748333,8.714001667,66.278763889,861.619232222
2015-08-05 00:44:00,-78171537.432251668,-78172391.883017492,854.450765833,3826.615780556,3887.169417778,-78176218.498798060,10314.887694444,1615.848162222,529.533045833,177.214610833,8.714001389,66.278763889,861.619230833
2015-08-05 00:43:00,-78171537.437691104,-78172391.882860553,854.445169444,3826.615868333,3887.169417778,-78176218.498728883,10314.887694444,1615.846580556,529.532905278,177.214473611,8.714001389,66.278763611,861.619229722
2015-08-05 00:42:00,-78171537.443133056,-78172391.882702768,854.439569722,3826.615956667,3887.169417778,-78176218.498659432,10314.887694444,1615.844998056,529.532764722,177.214336111,8.714001111,66.278763611,861.619228611
2015-08-05 00:41:00,-78171537.448571670,-78172391.882544994,854.433973333,3826.616045000,3887.169417778,-78176218.498589993,10314.887694444,1615.843414722,529.532623889,177.214198611,8.714001111,66.278763611,861.619227222
2015-08-05 00:40:00,-78171537.454011667,-78172391.882387495,854.428375833,3826.616133056,3887.169417778,-78176218.498520553,10314.887694444,1615.841830000,529.532483611,177.214061111,8.714001111,66.278763611,861.619226111
2015-08-05 00:39:00,-78171537.459462774,-78172391.882230270,854.422767500,3826.616220833,3887.169417778,-78176218.498451102,10314.887694444,1615.840244444,529.532343333,177.213923333,8.714000833,66.278763333,861.619224722
2015-08-05 00:38:00,-78171537.464906108,-78172391.882072783,854.417166667,3826.616309167,3887.169417778,-78176218.498381948,10314.887694444,1615.838658611,529.532203333,177.213785556,8.714000833,66.278763333,861.619223611
2015-08-05 00:37:00,-78171537.470352221,-78172391.881915557,854.411563333,3826.616396944,3887.169417778,-78176218.498312485,10314.887694444,1615.837073611,529.532062500,177.213647778,8.714000556,66.278763333,861.619222500
2015-08-05 00:36:00,-78171537.475793600,-78172391.881758595,854.405965000,3826.616484444,3887.169417778,-78176218.498243046,10314.887694444,1615.835489444,529.531921944,177.213510278,8.714000556,66.278763333,861.619221389
2015-08-05 00:35:00,-78171537.481236935,-78172391.881600833,854.400363889,3826.616572778,3887.169417778,-78176218.498173606,10314.887694444,1615.833906111,529.531781667,177.213372778,8.714000278,66.278763056,861.619220278
2015-08-05 00:34:00,-78171537.486680007,-78172391.881443882,854.394763889,3826.616660556,3887.169417778,-78176218.498104441,10314.887694444,1615.832321111,529.531641389,177.213235000,8.714000000,66.278763056,861.619218889
2015-08-05 00:33:00,-78171537.492128325,-78172391.881286669,854.389158333,3826.616748611,3887.169417778,-78176218.498035264,10314.887694444,1615.830736944,529.531501111,177.213097222,8.714000000,66.278763056,861.619217778
2015-08-05 00:32:00,-78171537.497570825,-78172391.881129444,854.383558611,3826.616836389,3887.169417778,-78176218.497965825,10314.887694444,1615.829153333,529.531360833,177.212959722,8.713999722,66.278762778,861.619216389
