"Date & Time","use [kWh]","gen [kWh]","Grid [kWh]","PV Array 1 [kWh]","PV Array 1+ [kWh]","PV  Array 2 [kWh]","PV  Array 2+ [kWh]","Fans + Halls? [kWh]","East front hall [kWh]","West front hall [kWh]","Recept East [kWh]","Recept West [kWh]","12kBtu Air Conditioning [kWh]"
2015-08-02 21:00:00,-78171562.471747220,-78172424.568803608,862.097056389,3818.319366667,3878.729006389,-78176242.888170266,10292.592350556,1611.013019167,529.497375278,176.858413333,8.713541111,66.278371944,860.881851389
2015-08-02 20:59:00,-78171562.476972485,-78172424.568653607,862.091681111,3818.319448333,3878.729006389,-78176242.888101935,10292.592350556,1611.011489444,529.497375833,176.858411667,8.713541111,66.278371944,860.881848333
2015-08-02 20:58:00,-78171562.482168889,-78172424.568503881,862.086335000,3818.319530000,3878.729006389,-78176242.888033879,10292.592350556,1611.009961944,529.497376111,176.858410000,8.713541111,66.278371944,860.881845000
2015-08-02 20:57:00,-78171562.487349164,-78172424.568352771,862.081003611,3818.319612500,3878.729006389,-78176242.887965274,10292.592350556,1611.008443333,529.497376667,176.858408333,8.713540833,66.278371944,860.881841944
2015-08-02 20:56:00,-78171562.492527223,-78172424.568201113,862.075673889,3818.319695556,3878.729006389,-78176242.887896657,10292.592350556,1611.006934444,529.497377222,176.858406667,8.713540556,66.278371944,860.881838611
2015-08-02 20:55:00,-78171562.497681379,-78172424.568050003,862.070368611,3818.319778056,3878.729006389,-78176242.887828052,10292.592350556,1611.005431667,529.497377500,176.858405000,8.713540556,66.278371667,860.881835556
2015-08-02 20:54:00,-78171562.502869153,-78172424.567898047,862.065028889,3818.319861111,3878.729006389,-78176242.887759161,10292.592350556,1611.003922222,529.497377778,176.858403611,8.713540556,66.278371667,860.881832500
2015-08-02 20:53:00,-78171562.508045816,-78172424.567747223,862.059701389,3818.319943333,3878.729006389,-78176242.887690544,10292.592350556,1611.002411389,529.497378333,176.858401944,8.713540278,66.278371667,860.881829444
2015-08-02 20:52:00,-78171562.513223886,-78172424.567595553,862.054371667,3818.320026389,3878.729006389,-78176242.887621939,10292.592350556,1611.000896667,529.497378611,176.858400278,8.713540278,66.278371389,860.881826111
2015-08-02 20:51:00,-78171562.518402505,-78172424.567444444,862.049041944,3818.320108611,3878.729006389,-78176242.887553048,10292.592350556,1610.999383333,529.497379167,176.858398611,8.713540278,66.278371389,860.881823056
2015-08-02 20:50:00,-78171562.523574996,-78172424.567295265,862.043720278,3818.320189444,3878.729006389,-78176242.887484717,10292.592350556,1610.997872222,529.497379444,176.858396667,8.713540000,66.278371389,860.881820000
2015-08-02 20:49:00,-78171562.528754163,-78172424.567145824,862.038391667,3818.320270000,3878.729006389,-78176242.887415826,10292.592350556,1610.996358889,529.497380000,176.858394722,8.713540000,66.278371389,860.881816944
2015-08-02 20:48:00,-78171562.533933878,-78172424.566996109,862.033062222,3818.320351111,3878.729006389,-78176242.887347221,10292.592350556,1610.994842500,529.497380556,176.858392778,8.713539722,66.278371111,860.881813889
2015-08-02 20:47:00,-78171562.539114451,-78172424.566847217,862.027732778,3818.320431111,3878.729006389,-78176242.887278330,10292.592350556,1610.993327500,529.497380833,176.858391111,8.713539722,66.278371111,860.881810833
2015-08-02 20:46:00,-78171562.544295263,-78172424.566698885,862.022403611,3818.320511111,3878.729006389,-78176242.887210000,10292.592350556,1610.991804722,529.497381389,176.858389167,8.713539444,66.278371111,860.881807778
2015-08-02 20:45:00,-78171562.549491656,-78172424.566550267,862.017058611,3818.320591111,3878.729006389,-78176242.887141371,10292.592350556,1610.990283889,529.497381944,176.858387222,8.713539444,66.278371111,860.881804722
2015-08-02 20:44:00,-78171562.554694164,-78172424.566400826,862.011706667,3818.320671667,3878.729006389,-78176242.887072492,10292.592350556,1610.988756389,529.497382222,176.858385278,8.713539444,66.278370833,860.881801389
2015-08-02 20:43:00,-78171562.559896111,-78172424.566251385,862.006355278,3818.320752500,3878.729006389,-78176242.887003887,10292.592350556,1610.987228611,529.497382778,176.858383333,8.713539167,66.278370833,860.881798333
2015-08-02 20:42:00,-78171562.565078044,-78172424.566102493,862.001024444,3818.320832778,3878.729006389,-78176242.886935282,10292.592350556,1610.985705000,529.497383333,176.858381389,8.713539167,66.278370833,860.881795278
2015-08-02 20:41:00,-78171562.570262778,-78172424.565953612,861.995690833,3818.320913056,3878.729006389,-78176242.886866665,10292.592350556,1610.984181111,529.497383611,176.858379444,8.713539167,66.278370833,860.881791944
2015-08-02 20:40:00,-78171562.575450277,-78172424.565805554,861.990355278,3818.320992500,3878.729006389,-78176242.886798048,10292.592350556,1610.982660556,529.497384167,176.858377500,8.713538889,66.278370833,860.881788889
2015-08-02 20:39:00,-78171562.580623615,-78172424.565656948,861.985033333,3818.321072500,3878.729006389,-78176242.886729431,10292.592350556,1610.981140278,529.497384722,176.858375556,8.713538889,66.278370556,860.881785833
2015-08-02 20:38:00,-78171562.585781932,-78172424.565508318,861.979726389,3818.321152500,3878.729006389,-78176242.886660826,10292.592350556,1610.979623056,529.497385278,176.858373611,8.713538889,66.278370556,860.881782778
2015-08-02 20:37:00,-78171562.590945554,-78172424.565359712,861.974414167,3818.321232500,3878.729006389,-78176242.886592221,10292.592350556,1610.978107778,529.497385556,176.858371944,8.713538611,66.278370556,860.881779722
2015-08-02 20:36:00,-78171562.596118331,-78172424.565210831,861.969092500,3818.321312778,3878.729006389,-78176242.886523604,10292.592350556,1610.976588333,529.497386111,176.858370000,8.713538611,66.278370278,860.881776389
2015-08-02 20:35:00,-78171562.601294708,-78172424.565061665,861.963766944,3818.321393611,3878.729006389,-78176242.886455274,10292.592350556,1610.975065833,529.497386667,176.858368056,8.713538611,66.278370278,860.881773333
2015-08-02 20:34:00,-78171562.606463611,-78172424.564912498,861.958448889,3818.321473889,3878.729006389,-78176242.886386383,10292.592350556,1610.973544167,529.497387222,176.858366389,8.713538333,66.278370278,860.881770278
2015-08-02 20:33:00,-78171562.611635828,-78172424.564763892,861.953128056,3818.321553889,3878.729006389,-78176242.886317778,10292.592350556,1610.972025556,529.497387778,176.858364444,8.713538333,66.278370278,860.881767222
2015-08-02 20:32:00,-78171562.616793609,-78172424.564614999,861.947821389,3818.321634444,3878.729006389,-78176242.886249435,10292.592350556,1610.970510833,529.497388056,176.858362500,8.713538333,66.278370278,860.881764167
2015-08-02 20:31:00,-78171562.622045541,-78172424.564464712,861.942419167,3818.321715833,3878.729006389,-78176242.886180544,10292.592350556,1610.969000000,529.497388333,176.858361111,8.713538056,66.278370000,860.881761111
2015-08-02 20:30:00,-78171562.627375543,-78172424.564313889,861.936938333,3818.321797778,3878.729006389,-78176242.886111665,10292.592350556,1610.967486667,529.497388611,176.858359444,8.713538056,66.278370000,860.881758056
2015-08-02 20:29:00,-78171562.632510829,-78172424.564165282,861.931654444,3818.321877778,3878.729006389,-78176242.886043060,10292.592350556,1610.965974167,529.497389167,176.858357778,8.713538056,66.278370000,860.881755000
2015-08-02 20:28:00,-78171562.637628603,-78172424.564016390,861.926387778,3818.321958333,3878.729006389,-78176242.885974717,10292.592350556,1610.964462222,529.497389722,176.858356111,8.713537778,66.278370000,860.881751944
2015-08-02 20:27:00,-78171562.642732763,-78172424.563868046,861.921135278,3818.322038333,3878.729006389,-78176242.885906386,10292.592350556,1610.962952500,529.497390000,176.858354167,8.713537778,66.278369722,860.881748611
2015-08-02 20:26:00,-78171562.647851658,-78172424.563719726,861.915868056,3818.322117778,3878.729006389,-78176242.885837495,10292.592350556,1610.961440556,529.497390556,176.858352500,8.713537778,66.278369722,860.881745556
2015-08-02 20:25:00,-78171562.653108609,-78172424.563569999,861.910461389,3818.322198611,3878.729006389,-78176242.885768604,10292.592350556,1610.959934444,529.497390833,176.858350833,8.713537500,66.278369722,860.881742500
2015-08-02 20:24:00,-78171562.658211946,-78172424.563422215,861.905210278,3818.322277778,3878.729006389,-78176242.885699987,10292.592350556,1610.958435833,529.497391111,176.858349167,8.713537500,66.278369722,860.881739167
2015-08-02 20:23:00,-78171562.663323045,-78172424.563274157,861.899951111,3818.322357222,3878.729006389,-78176242.885631382,10292.592350556,1610.956934167,529.497391667,176.858347500,8.713537222,66.278369444,860.881736111
2015-08-02 20:22:00,-78171562.668441939,-78172424.563125551,861.894683611,3818.322436944,3878.729006389,-78176242.885562491,10292.592350556,1610.955431111,529.497391944,176.858345833,8.713537222,66.278369444,860.881733056
2015-08-02 20:21:00,-78171562.673562777,-78172424.562977493,861.889414722,3818.322516389,3878.729006389,-78176242.885493886,10292.592350556,1610.953923333,529.497392500,176.858344167,8.713537222,66.278369444,860.881729722
2015-08-02 20:20:00,-78171562.678692484,-78172424.562828887,861.884136389,3818.322596389,3878.729006389,-78176242.885425270,10292.592350556,1610.952411667,529.497392778,176.858342222,8.713536944,66.278369167,860.881726389
2015-08-02 20:19:00,-78171562.683813596,-78172424.562679994,861.878866389,3818.322676389,3878.729006389,-78176242.885356379,10292.592350556,1610.950899167,529.497393333,176.858340556,8.713536944,66.278369167,860.881723333
2015-08-02 20:18:00,-78171562.688953876,-78172424.562530828,861.873576944,3818.322756944,3878.729006389,-78176242.885287774,10292.592350556,1610.949380556,529.497393611,176.858338889,8.713536667,66.278369167,860.881720000
2015-08-02 20:17:00,-78171562.694096100,-78172424.562381101,861.868285000,3818.322837778,3878.729006389,-78176242.885218883,10292.592350556,1610.947860000,529.497394167,176.858337222,8.713536667,66.278368889,860.881716944
2015-08-02 20:16:00,-78171562.699228883,-78172424.562231112,861.863002222,3818.322918889,3878.729006389,-78176242.885150003,10292.592350556,1610.946336111,529.497394444,176.858335556,8.713536667,66.278368889,860.881713889
2015-08-02 20:15:00,-78171562.704384446,-78172424.562081385,861.857696944,3818.323000000,3878.729006389,-78176242.885081387,10292.592350556,1610.944811667,529.497395000,176.858333889,8.713536667,66.278368889,860.881710556
2015-08-02 20:14:00,-78171562.709480548,-78172424.561931384,861.852450833,3818.323080833,3878.729006389,-78176242.885012221,10292.592350556,1610.943291944,529.497395278,176.858332222,8.713536389,66.278368889,860.881707500
2015-08-02 20:13:00,-78171562.714573050,-78172424.561780822,861.847207778,3818.323162778,3878.729006389,-78176242.884943604,10292.592350556,1610.941770000,529.497395833,176.858330556,8.713536389,66.278368611,860.881704444
2015-08-02 20:12:00,-78171562.719678330,-78172424.561630547,861.841952222,3818.323244444,3878.729006389,-78176242.884875000,10292.592350556,1610.940247778,529.497396111,176.858328889,8.713536111,66.278368611,860.881701389
